[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/04/2025 0:00:00;12.9;17.43;26.8;9;9.4;4.4;15;192;27.1;30;99;82;96;60;48;190;1658;19;96;17;965;15;0
A Coruña;Aldea Nova;01/04/2025 0:00:00;13.6;18.76;27.6;29;9.6;5.7;15;149;27.7;30;50;79;94;60;47;186;1661;9;65;19;981;15;0
A Coruña;Arzúa;01/04/2025 0:00:00;12.6;19.44;28.3;9;6.6;2.5;17;220;58.6;18;129;81;99;53;44;177;1582;4;50;14;971;16;0
A Coruña;Camariñas;01/04/2025 0:00:00;14.4;17.65;26.0;29;11.0;8.2;16;113;23.0;30;5;80;93;63;52;185;1735;15;77;17;1012;14;0
A Coruña;Cariño;01/04/2025 0:00:00;13.6;17.64;26.4;29;9.9;6.9;22;117;34.2;19;26;85;98;65;50;199;1734;7;51;19;1009;16;0
A Coruña;Cee-Brens;01/04/2025 0:00:00;14.8;18.24;26.9;9;10.9;7.1;15;198;38.6;18;-2;83;97;63;49;197;1664;12;75;14;1012;14;0
A Coruña;CIS Ferrol;01/04/2025 0:00:00;14.9;20.08;29.3;29;10.5;7.3;15;113;24.8;30;-25;73;90;52;50;198;1769;8;69;14;1009;14;0
A Coruña;Corrubedo;01/04/2025 0:00:00;15.1;18.86;26.2;28;11.7;6.9;15;142;29.1;30;38;70;85;53;43;173;1625;9;79;19;1009;14;0
A Coruña;Coruña-Dique;01/04/2025 0:00:00;14.6;17.79;26.1;29;11.5;7.8;27;86;24.8;30;**;79;91;63;**;**;**;16;81;14;1011;12;0
A Coruña;Coruña-Torre de Hércules;01/04/2025 0:00:00;15.2;19.49;28.8;29;12.1;8.2;16;117;35.1;30;**;72;90;53;**;**;**;**;**;**;**;13;0
A Coruña;*Costa;01/04/2025 0:00:00;13.2;20.09;29.7;10;7.2;4.1;16;245;45.5;19;**;87;100;60;**;**;**;2;44;14;**;15;0
A Coruña;*Coto Muiño;01/04/2025 0:00:00;12.1;18.88;28.6;10;6.3;3.3;15;291;48.7;19;**;79;93;54;**;**;**;2;49;19;**;16;0
A Coruña;Fontecada;01/04/2025 0:00:00;11.7;16.76;26.2;10;7.2;2.8;16;272;57.2;18;151;77;92;56;45;181;1526;10;66;14;970;15;0
A Coruña;*Guísamo;01/04/2025 0:00:00;14.1;19.24;27.5;29;10.0;6.2;15;140;40.1;30;**;71;93;47;**;**;**;4;42;14;992;14;0
A Coruña;*Lesende;01/04/2025 0:00:00;14.0;19.28;28.9;10;9.5;5.4;15;220;48.3;18;129;80;96;57;45;179;1563;7;46;19;995;14;0
A Coruña;Lira;01/04/2025 0:00:00;14.7;17.9;25.4;9;11.6;7.2;15;159;33.6;30;51;75;90;59;54;214;1767;19;100;19;**;15;0
A Coruña;Mabegondo;01/04/2025 0:00:00;13.9;20.39;29.2;29;7.7;4.7;27;149;40.5;30;56;84;100;60;48;189;1681;6;58;14;1003;15;0
A Coruña;Malpica;01/04/2025 0:00:00;13.5;17.55;25.9;29;10.7;5.7;16;111;25.9;30;29;90;100;68;53;212;1746;19;106;19;994;15;0
A Coruña;Marco da Curra;01/04/2025 0:00:00;11.0;15.8;24.3;29;7.0;1.8;15;230;70.0;19;107;79;95;59;45;178;1625;16;81;14;938;15;0
A Coruña;Melide;01/04/2025 0:00:00;12.4;19.04;27.5;9;6.6;1.4;15;193;39.5;19;100;78;96;52;43;173;1593;5;46;14;958;16;0
A Coruña;Muralla;01/04/2025 0:00:00;11.7;15.59;25.3;10;8.2;2.6;15;280;59.9;18;19;81;94;63;45;180;1546;17;87;14;937;15;0
A Coruña;O Fieitoso;01/04/2025 0:00:00;14.4;18.87;27.8;10;10.5;5.4;15;272;53.9;19;172;76;93;55;48;192;1666;5;74;19;**;14;0
A Coruña;*O Val;01/04/2025 0:00:00;14.4;19.8;28.1;29;9.4;6.0;22;134;29.4;30;**;84;98;64;**;**;**;4;51;19;1004;16;0
A Coruña;Olas;01/04/2025 0:00:00;12.5;18.43;27.2;9;7.5;2.8;16;238;72.9;12;132;80;95;57;47;186;1632;6;47;4;**;15;0
A Coruña;*Ordes;01/04/2025 0:00:00;13.0;19.56;28.7;9;6.5;3.4;17;172;25.7;18;**;79;95;55;**;**;**;2;35;14;982;14;0
A Coruña;*Paramos;01/04/2025 0:00:00;12.6;18.22;27.0;10;7.9;3.4;15;248;40.6;14;**;83;97;62;**;**;**;5;**;14;970;15;0
A Coruña;*Pazo de Galegos;01/04/2025 0:00:00;14.1;19.98;29.4;10;8.9;4.4;16;188;38.1;30;93;78;96;54;43;172;1561;3;43;14;**;15;0
A Coruña;Punta Candieira;01/04/2025 0:00:00;13.8;17.03;25.7;29;10.9;6.1;15;69;16.8;30;-38;74;91;58;46;183;1687;25;105;19;982;15;0
A Coruña;Punta Langosteira;01/04/2025 0:00:00;14.5;17;25.4;29;11.8;8.3;15;71;18.7;30;**;74;88;59;52;207;1755;16;91;18;1011;11;0
A Coruña;Río do Sol;01/04/2025 0:00:00;11.8;17.22;26.4;10;7.8;2.5;15;235;42.2;18;148;83;97;61;47;186;1618;16;78;14;950;16;0
A Coruña;*Rus;01/04/2025 0:00:00;13.5;20;28.6;9;7.7;3.8;27;141;29.6;18;**;88;100;61;**;**;**;2;39;18;997;13;0
A Coruña;Sálvora-Pazo;01/04/2025 0:00:00;15.1;18.14;25.8;28;12.6;8.4;15;145;32.0;30;--;81;94;63;51;203;1829;19;86;19;**;15;0
A Coruña;Santiago-EOAS;01/04/2025 0:00:00;13.6;19.3;28.9;10;8.9;4.9;16;169;30.4;18;86;78;94;56;37;141;1471;11;78;2;983;16;0
A Coruña;Santiago-San Lázaro;01/04/2025 0:00:00;13.5;18.68;28.6;9;8.9;4.8;16;162;30.5;19;79;80;97;58;46;176;1584;6;57;19;977;15;**
A Coruña;Sergude;01/04/2025 0:00:00;13.6;19.63;29.0;10;8.2;3.6;16;192;46.3;18;**;85;99;60;46;185;1626;7;56;2;986;15;0
A Coruña;Serra da Faladoira;01/04/2025 0:00:00;11.2;15.66;24.6;29;7.4;2.8;15;203;49.8;19;119;84;99;63;48;192;1684;18;79;14;946;16;0
Lugo;A Pontenova;01/04/2025 0:00:00;12.1;17.75;25.6;29;8.1;3.5;15;122;23.6;2;**;80;94;58;42;167;1513;12;83;14;**;17;0
Lugo;Abradelo;01/04/2025 0:00:00;11.3;16.75;25.9;10;6.5;0.6;15;203;38.5;19;**;73;91;54;46;183;1632;**;**;**;**;18;0
Lugo;*Alto do Faro;01/04/2025 0:00:00;10.5;15.5;23.9;9;6.0;1.0;15;226;41.9;11;**;85;98;62;**;**;**;5;45;19;917;17;0
Lugo;*Alto do Poio;01/04/2025 0:00:00;8.0;11.92;19.8;24;4.2;-1.6;15;237;46.9;18;**;74;88;58;**;**;**;**;**;**;**;18;4
