[Provincia];[NombreEstacion];[InstanteLectura];[TA];[TMAXMED];[TMAX];[FTMAX];[TMINmed];[TMIN];[FTMIN];[PP];[PPMAX];[FPPMAX];[BHC];[HRMED];[HRMAX];[HRMIN];[INS];[HSOL];[IRD];[VV];[GT];[FGTMAX];[PR];[NDPP];[NDX]
A Coruña;A Gándara;01/02/2025 0:00:00;10.3;13.03;15.9;5;8.1;3.7;8;203;50.7;24;167;91;100;74;**;**;755;26;122;21;971;18;0
A Coruña;Aldea Nova;01/02/2025 0:00:00;10.7;14.1;17.7;15;7.8;2.2;7;217;71.6;24;165;83;95;65;33;97;753;9;67;21;987;20;0
A Coruña;Arzúa;01/02/2025 0:00:00;9.0;14.13;16.9;5;4.3;-4.4;8;124;33.7;24;85;88;99;64;34;101;753;4;52;21;978;17;6
A Coruña;Camariñas;01/02/2025 0:00:00;12.6;14.7;16.6;18;10.1;3.0;8;105;18.7;11;58;84;96;70;36;106;766;20;97;21;1019;16;0
A Coruña;Cariño;01/02/2025 0:00:00;12.1;15.28;19.0;20;8.8;2.9;8;185;57.9;24;140;84;98;65;29;86;699;6;52;21;1016;19;0
A Coruña;Cee-Brens;01/02/2025 0:00:00;12.5;14.84;18.3;28;9.4;2.3;8;216;57.8;24;174;90;99;75;33;96;702;17;82;21;1019;18;0
A Coruña;CIS Ferrol;01/02/2025 0:00:00;12.1;15.65;18.8;15;8.8;2.2;8;209;76.3;24;155;79;92;60;35;104;779;8;71;21;1016;19;0
A Coruña;Corrubedo;01/02/2025 0:00:00;12.0;15.03;19.3;28;9.6;4.2;8;137;34.0;24;92;80;91;65;32;94;763;8;67;22;1017;18;0
A Coruña;Coruña-Dique;01/02/2025 0:00:00;12.8;15.57;17.9;15;9.9;3.9;8;111;55.4;24;**;79;92;64;**;**;**;17;94;21;1018;15;0
A Coruña;Coruña-Torre de Hércules;01/02/2025 0:00:00;13.1;16.24;20.1;19;10.4;4.2;8;169;77.6;24;**;74;90;56;**;**;**;**;**;**;**;14;0
A Coruña;*Costa;01/02/2025 0:00:00;10.1;14.84;18.7;5;5.6;-1.3;8;253;84.8;24;**;93;100;70;**;**;**;3;50;21;**;19;1
A Coruña;*Coto Muiño;01/02/2025 0:00:00;9.7;14.07;17.0;5;5.5;-2.5;8;298;99.3;24;**;84;93;65;**;**;**;3;54;21;**;21;4
A Coruña;Fontecada;01/02/2025 0:00:00;9.1;12.43;15.6;5;5.8;-1.2;8;281;96.8;24;250;85;95;66;33;97;730;12;89;21;977;19;1
A Coruña;*Guísamo;01/02/2025 0:00:00;11.3;14.76;17.4;17;8.3;2.2;8;143;51.9;24;**;77;93;54;**;**;**;5;55;20;999;15;0
A Coruña;*Lesende;01/02/2025 0:00:00;11.0;14.68;18.1;28;7.7;1.1;8;201;50.2;24;142;88;99;68;31;92;708;8;60;21;1002;17;0
A Coruña;Lira;01/02/2025 0:00:00;11.7;13.8;18.0;28;9.9;5.4;7;152;34.8;24;105;84;95;72;35;103;775;26;105;21;**;18;0
